chunk_id,book_title,chapter_title,section_title,page_start,page_end,chunk_title,topic_type,cleaned_text,keywords,citation_anchor
M_YLSMZPX_V1_0001,园林树木栽培学,0 绪论,0.1.1 概念,1,1,园林树木的概念,definition,一般认为，园林树木是指能改善和美化环境、提供观赏、增添情趣的木本植物的总称，它是构成人类自然环境和风景名胜区、城市绿化以及室内装饰的基本材料。将各种园林树木与其他园林植物进行合理配置，辅以建筑、山石、水体等设施即可组成一个优雅、舒适、美观的园林环境，供人们休闲生活、游览观赏和陶冶情操，既丰富人们的生活，又能解除劳动后的疲劳。园林树木栽培就是按园林设计的要求将园林树木栽植到绿化地段并进行合理养护与管理的过程，是园林绿化工作最为重要的组成部分之一。,园林树木；木本植物；园林环境；园林树木栽培；绿化,园林树木栽培学-0 绪论-0.1.1 概念-1-1
M_YLSMZPX_V1_0002,园林树木栽培学,0 绪论,0.1.1 概念,1,1,园林树木栽培学的概念,definition,园林树木栽培学是研究园林树木的生长发育规律及园林树木的移栽定植、养护管理等相关理论与技术的一门应用学科。其涉及的知识面较为广泛，所以必须在具有相应专业基础知识的前提下才能学好这门课程。,园林树木栽培学；生长发育规律；移栽定植；养护管理；应用学科,园林树木栽培学-0 绪论-0.1.1 概念-1-1
M_YLSMZPX_V1_0003,园林树木栽培学,0 绪论,0.1.1 概念,1,1,学习园林树木栽培学的方法,summary,由于园林树木栽培学是一门实践性很强的应用学科，所以在学习方法上要求多看、多做、多问、多想、多记。“多看”指的是多看书、多观察，了解园林树木栽培的意义、历史和现状，掌握树木栽培的理论基础与技术原理；“多做”是要求学生们在不断吸收和总结历史栽培经验与教训的基础上，注重理论联系实际，多动手实践，在实践中学习；“多问”就是要不懂就问，要善于向各种人学习，特别是那些具有实践经验的老师傅，他们多年的经验是宝贵的财富，应该虚心向他们学习，不断向他们求教；“多想”是指应该把在学习中学到的（无论是书本上的还是实践中的）理论知识和技术措施进行分析研究和归纳总结；“多记”是指在学习中把所见所闻、所思所想及时完整地记在笔记本上，从而避免边学边忘。只有这样才能在学习理论知识的同时，提高动手能力，掌握实践技术，从而培养在园林树木栽培实践中分析问题和解决问题的能力。,学习方法；多看；多做；多问；多想；多记,园林树木栽培学-0 绪论-0.1.1 概念-1-1
M_YLSMZPX_V1_0004,园林树木栽培学,0 绪论,0.1.1 概念,1,1,学习园林树木栽培学的目标,summary,通过学习园林树木栽培学，一是要了解园林树木栽植与养护管理在园林建设事业中的重要作用；二是要掌握园林树木生长发育的规律和国内外园林树木栽培管护的理论原理与技术措施；三是学完本课程，应该初步具有园林树木绿化施工与养护管理实际操作和解决生产实际问题的能力。,学习目标；栽植；养护管理；生长发育；绿化施工,园林树木栽培学-0 绪论-0.1.1 概念-1-1
M_YLSMZPX_V1_0005,园林树木栽培学,0 绪论,0.1.2 园林树木的分类,2,2,园林树木分类方法的内容,summary,通俗地讲，园林树木就是应用于园林绿化的木本植物。所以，它们的分类情况也与其他植物一样，主要是两种分类方法——自然分类法和人为分类法。,园林树木；分类方法；自然分类法；人为分类法；木本植物,园林树木栽培学-0 绪论-0.1.2 园林树木的分类-2-2
M_YLSMZPX_V1_0006,园林树木栽培学,0 绪论,0.1.2.1 自然分类法,2,2,自然分类法的概念与作用,definition,自然分类法就是按照树木之间亲缘关系的远近来进行分类。这种分类方法在园林树木的种类鉴定、遗传育种和嫁接繁殖等方面有着不可替代的重要作用。,自然分类法；亲缘关系；种类鉴定；遗传育种；嫁接繁殖,园林树木栽培学-0 绪论-0.1.2.1 自然分类法-2-2
M_YLSMZPX_V1_0007,园林树木栽培学,0 绪论,0.1.2.2 人为分类法,2,2,人为分类法的概念,definition,人为分类法是指根据某一方面的需要而把植物的某些特征作为分类依据的分类方法。对园林树木而言，常用的主要有以下几种。,人为分类法；分类依据；植物特征；园林树木；分类,园林树木栽培学-0 绪论-0.1.2.2 人为分类法-2-2
M_YLSMZPX_V1_0008,园林树木栽培学,0 绪论,0.1.2.2 人为分类法,2,2,人为分类法的主要类型,summary,（1）根据树木的生长类型分为：乔木、灌木、丛木和藤木。（2）根据树木的生长习性分为：常绿树、落叶树、半常绿或半落叶树。（3）根据观赏特性分为：观形树、观叶树、观花树、观果树、观根树和观赏枝干的树。（4）根据园林用途分为：孤植树、行道树、庭荫树、防护树、垂直绿化树、桩景树和绿篱绿雕塑类。（5）根据耐寒性分为：耐寒树、半耐寒树和不耐寒树。（6）根据对水分条件的适应性分为：耐旱树、耐湿树和耐水树。（7）根据对光照条件的适应性分为：阳性树种、中性树种和耐荫树种。（8）根据对土壤条件的适应性分为：耐酸性树种、耐碱性树种和耐瘠薄树种。（9）根据对空气条件的适应性分为：抗风树种、抗有毒气体树种、抗粉尘树种和卫生保健树种（能分泌和挥发杀菌素或有益于人类的芳香物质）。,生长类型；生长习性；观赏特性；园林用途；耐寒性；适应性,园林树木栽培学-0 绪论-0.1.2.2 人为分类法-2-2
M_YLSMZPX_V1_0009,园林树木栽培学,0 绪论,0.1.3 园林树木栽培的意义与作用,2,2,园林树木栽培意义与作用的总述,summary,随着我国经济的迅速发展，城市人口急剧增长，人们深刻认识到城市化的急剧发展对城市环境带来的严重破坏已成为城市健康发展和人民生活质量提高的潜在制约因素。城市园林绿化作为城市环境建设中不可缺少的重要组成部分，在城市可持续发展战略的实施中发挥着重要作用。园林树木是城市园林景观中必不可少的造景要素，因此，园林树木栽培是园林绿化工作最为重要的组成部分之一。,城市化；城市环境；园林绿化；园林树木；可持续发展,园林树木栽培学-0 绪论-0.1.3 园林树木栽培的意义与作用-2-2
M_YLSMZPX_V1_0010,园林树木栽培学,0 绪论,0.1.3 园林树木栽培的意义与作用,2,2,园林树木栽培主要作用的概述,summary,园林树木除了具有组景、衬景、观景的景观艺术价值外，还具有明显的改善环境条件、调节局部小气候及环保抗灾的生态作用。具体来讲，园林树木栽培主要可以产生以下作用。,景观艺术；改善环境；局部小气候；环保抗灾；生态作用,园林树木栽培学-0 绪论-0.1.3 园林树木栽培的意义与作用-2-2
