chunk_id,book_title,chapter_title,section_title,page_start,page_end,chunk_title,topic_type,cleaned_text,keywords,citation_anchor
M_YLSMX_V1_0001,园林树木学,第1章 绪论,1.1 园林树木学的定义、任务和学习方法,1,2,园林树木与园林树木学的定义,definition,园林树木是适合在风景名胜区、休疗养胜地、城乡各类园林绿地中应用的木本植物。以园林建设为宗旨，系统研究园林树木的分类、习性、繁殖、栽培管理和应用等内容的学科称为园林树木学；该学科属于应用科学范畴，服务于园林建设，是园林教育中的重要专业课程。,园林树木；园林树木学；木本植物；园林建设；应用科学,园林树木学-第1章 绪论-1.1 园林树木学的定义、任务和学习方法-1-2
M_YLSMX_V1_0002,园林树木学,第1章 绪论,1.1 园林树木学的定义、任务和学习方法,1,2,园林树木学内容的构成,summary,园林树木学内容包括绪论、总论和各论三部分。总论讲授理论，各论讲授树木的识别、分布、生长发育和生态习性，环境因子对树木的影响和树木改善环境的作用，树木的繁殖和栽培管理技术，树木的观赏特性及其在园林中的配植应用，以及树木的经济生产用途等。,绪论；总论；各论；树木识别；栽培管理；园林配植,园林树木学-第1章 绪论-1.1 园林树木学的定义、任务和学习方法-1-2
M_YLSMX_V1_0003,园林树木学,第1章 绪论,1.1 园林树木学的定义、任务和学习方法,1,2,学习园林树木学的方法,summary,学习园林树木学需要植物学、植物分类学、植物生理学、土壤学、肥料学、气象学、植物生态学、植物地理学、地植物学和森林学等基础。学习目标是掌握用树木建设园林的能力，并使树木长期充分发挥园林功能；学习中应记住树木识别特点，掌握习性、观赏特性、园林用途和相应栽培管理技术，并注意与相关专业课程的联系。由于树种繁多且地域差异大，学习时应理论联系实际，多观察记录树木及标本，勤思考，多分析比较和归纳。,基础学科；识别特点；观赏特性；园林用途；栽培管理；理论联系实际,园林树木学-第1章 绪论-1.1 园林树木学的定义、任务和学习方法-1-2
M_YLSMX_V1_0004,园林树木学,第1章 绪论,1.2 园林树木在园林建设中的作用,2,2,园林绿化工作受重视的原因,summary,世界各地重视城市园林建设，是因为工业生产的大规模发展造成环境污染，并使保持生态平衡成为重要议题。仅依靠工厂防护绿地或城市园林绿地不能解决全部公害问题，但人们因生活水平提高、城市畸形发展和人口集中而产生返回自然的要求，促使城市建设更加重视园林绿地发展。,城市建设；园林绿地；环境污染；生态平衡；返回自然,园林树木学-第1章 绪论-1.2 园林树木在园林建设中的作用-2-2
M_YLSMX_V1_0005,园林树木学,第1章 绪论,1.2 园林树木在园林建设中的作用,2,2,园林树木的主要功能,summary,园林树木在园林中具有巨大作用。树木作为有生命的有机体，会随四季变化呈现不同景色，其叶、花、果姿具有魅力，能构成美景和引人入胜的景境，并具有美化与文明教育作用。树木还能改善环境生态因子，特别是改善局部小气候、防护恶劣环境因子，对人体产生保健效果；同时树木具有丰富的生产功能，经营得当可促进园林建设，经营不当也可能造成消极甚至破坏作用。,美化环境；文明教育；生态因子；小气候；防护作用；生产功能,园林树木学-第1章 绪论-1.2 园林树木在园林建设中的作用-2-2
M_YLSMX_V1_0006,园林树木学,第1章 绪论,1.3.1 中国丰富多彩的园林树木资源,3,4,中国园林树木资源种类繁多的特点,summary,中国被西方人士称为“园林之母”，园林树木资源极为丰富，被视为世界园林植物重要发祥地之一。中国许多名贵园林树木及观赏植物品种经长期培育后传至国外，对园林事业和园艺植物育种产生重要作用。中国原产木本植物近8000种，在世界树种总数中占比很大；就耐寒乔灌木和松杉类、前苏联栽培树种以及乔灌木类统计，均显示中国木本植物资源在世界范围内的重要性。,园林之母；木本植物；园林植物；种类繁多；世界发祥地,园林树木学-第1章 绪论-1.3.1 中国丰富多彩的园林树木资源-3-4
M_YLSMX_V1_0007,园林树木学,第1章 绪论,1.3.1 中国丰富多彩的园林树木资源,3,4,中国园林树木资源丰富的原因,summary,中国树木种类丰富，一方面由于疆域广大、气候温和、地形变化多样，另一方面由于地史变迁。新生代第三纪以前全球气候暖热湿润，林木繁茂；第四纪冰川时期到来后，欧洲北部和中部许多树种被冻灭绝，而中国许多地区未受冰川直接影响，保留了银杏、银杉、水杉、水松、穗花杉、鹅掌楸等被欧洲人称为活化石的树种。,树木资源；气候温和；地形变化；地史变迁；冰川影响；活化石树种,园林树木学-第1章 绪论-1.3.1 中国丰富多彩的园林树木资源-3-4
M_YLSMX_V1_0008,园林树木学,第1章 绪论,1.3.1 中国丰富多彩的园林树木资源,4,5,中国园林树木分布集中与丰富多彩的特点,summary,许多著名观赏树木的科、属以中国为世界分布中心，在相对较小地区集中着原产众多的种类。中国地域广阔、环境变化多样，经过长期影响形成许多变异种类，仅以常绿杜鹃亚属为例，其植株习性、形态、生态要求、地理分布以及花序、花形、花色、花香等差异很大，表现出丰富多彩的资源特点。,分布中心；原产种类；环境变化；变异种类；常绿杜鹃；观赏性状,园林树木学-第1章 绪论-1.3.1 中国丰富多彩的园林树木资源-4-5
M_YLSMX_V1_0009,园林树木学,第1章 绪论,1.3.1 中国丰富多彩的园林树木资源,4,5,中国园林树木特有性和抗性的价值,summary,中国有许多世界其他地区没有、仅产于中国的特产科、属、种，并长期培育出独具特色的品种和类型，如黄香梅、龙游梅、红花檵木、红花含笑、重瓣杏花等。中国若干园林树木资源还具有特殊抗逆性和抗病能力，例如过去米丘林曾利用海棠果与苹果杂交进行抗寒育种，美国也曾借助中国板栗和榆树资源解决疫病造成的危害。,特产树种；品种资源；抗逆性；抗病能力；抗寒育种；园林树木资源,园林树木学-第1章 绪论-1.3.1 中国丰富多彩的园林树木资源-4-5
M_YLSMX_V1_0010,园林树木学,第1章 绪论,1.3.2 中国在园林树木方面宝贵的科学遗产,5,5,中国园林树木古籍遗产的内容,summary,中国有关园林树木的古籍丰富，除分类记载或以医药为主的本草集外，专门论述园林树木的著作也很多，包括《竹谱》《菊谱》《荔枝谱》《洛阳牡丹记》《梅谱》《橘录》《海棠谱》《全芳备祖》《群芳谱》《花镜》《广群芳谱》等。这些文献和民间世代相传的技术、优良品种，是劳动人民长期实践积累的宝贵财富，值得发掘整理并用现代科学技术理论加以阐述提高。,园林树木古籍；科学遗产；民间技术；优良品种；现代科学,园林树木学-第1章 绪论-1.3.2 中国在园林树木方面宝贵的科学遗产-5-5
