chunk_id,book_title,chapter_title,section_title,page_start,page_end,chunk_title,topic_type,cleaned_text,keywords,citation_anchor
M_LMBLX_V3_0001,林木病理学（第3版）,绪论,0.1 林木病害发生现状及其对社会、经济和生态环境的影响,1,1,林木病害的定义与灾害属性,definition,林木病害是由病原生物（包括菌物、细菌、病毒、线虫、高等寄生植物等）侵染或异常环境条件刺激引起的一种自然现象，当病害严重发生时就造成了病害的流行并形成灾害，对林木生长产生明显的影响，甚至会导致林木大面积死亡。由于世界上许多林木病害的流行往往与人为干扰森林生态系统或人为其他活动有密切关系，所以说林木病害作为一种自然现象，当其发生流行时又常会带有人为灾害的因素。,林木病害; 病原生物; 病害流行; 自然现象; 人为干扰,林木病理学（第3版）-绪论-0.1 林木病害发生现状及其对社会、经济和生态环境的影响-1-1
M_LMBLX_V3_0002,林木病理学（第3版）,绪论,0.1 林木病害发生现状及其对社会、经济和生态环境的影响,1,1,世界范围林木病害重大流行事件与经济损失,summary,在世界范围内，近百年来已发生过多起因林木病害的广泛流行而导致重大经济损失的事件。如1904年在美国纽约动物园的美洲栗（Castanea dentata）上首次发现栗疫病（Cryphonectria parasitica），此后40多年此病害席卷了美国东部几乎所有的天然栗树林，引起了约35亿株美洲栗树的死亡，使美洲栗遭受毁灭性灾害。1938年，此病又传入意大利，其后的几十年该病在欧洲迅速蔓延，使欧洲栗（Castanea sativa）同样遭受严重损失。榆树枯萎病（Ophiostoma ulmi）是20世纪爆发流行的又一种世界性流行病，在20世纪30年代和70年代出现了两次爆发性流行，在欧洲、北美洲、中亚的30多个国家和地区，对榆树产生了毁灭性破坏，造成了巨大的经济损失。如美国从1930—1935年的5年间，就因此病处理了250万棵死树或濒死树；在英格兰，1970—1978年此病造成170万株榆树死亡。,栗疫病; 美洲栗; 榆树枯萎病; 世界性流行病; 经济损失,林木病理学（第3版）-绪论-0.1 林木病害发生现状及其对社会、经济和生态环境的影响-1-1
M_LMBLX_V3_0003,林木病理学（第3版）,绪论,0.1 林木病害发生现状及其对社会、经济和生态环境的影响,1,1,中国林木病害发生现状及典型高危病害,summary,我国是一个林木病虫害发生较严重的国家，每年有记载的林木病害发生面积达113.33 × 10^4 hm²，如松材线虫病、杨树溃疡病、栗疫病、松干锈病、松针病害等每年在我国的发生面积都在6.67 × 10^4 hm²以上，其中松材线虫病被称为松树的“癌症”，松树一旦感染就难以挽救。自1982年在南京紫金山首次发现松材线虫病以来，目前已传播扩散到我国南方十多个省，正威胁着南方3300 × 10^4 hm²松林的安全，是我国近年来最具危险性和严重的林木病虫害。,发生面积; 松材线虫病; 杨树溃疡病; 危险性病害,林木病理学（第3版）-绪论-0.1 林木病害发生现状及其对社会、经济和生态环境的影响-1-1
M_LMBLX_V3_0004,林木病理学（第3版）,绪论,0.1 林木病害发生现状及其对社会、经济和生态环境的影响,1,1,林木病害的隐蔽性特征与森林损失占比,summary,林木病害的发生发展常具有很大的隐蔽性，许多病害只是在造成明显的灾害时才引起人们的重视，一些病害由于还没有被完全认识，因此其对林木的影响常不能被发现。林木病害的实际发生及危害比人们现在见到的损失要大得多。美国林务局曾有一个统计资料表明，在美国因病害引起的森林损失约占森林受自然灾害损失总量的45%，虫害占20%，火灾占17%，其他因素占18%。林木病害无论在世界上还是在中国都是一类十分重要且必须给予高度关注的灾害,隐蔽性; 森林损失; 灾害评估; 危害占比,林木病理学（第3版）-绪论-0.1 林木病害发生现状及其对社会、经济和生态环境的影响-1-1
M_LMBLX_V3_0005,林木病理学（第3版）,绪论,0.2 林木病理学发展历史,2,2,林木病理学学科的起源与奠基人,summary,林木病理学是在植物病理学的基础上结合林木病害的具体内容发展起来的，它是植物病理学的一个分支，同时也是林学的一个组成部分。德国人罗伯特·哈蒂（Robert Hartig）被公认为该学科的奠基人。他是著名的森林学家，同时致力于森林病害的研究，首次阐明了木质部菌丝与立木腐朽及其真菌担子果产生的关系。他撰写了《林木主要病害》（Wichtige Krankheiten der Waldbäume，1874）和《木材损伤现象》（Zersetzungserscheinungen des Holzes，1878）等有关林木病害的专著。1882年出版的《树病学》（Lehrbuch der Baumkrankheiten）一书，则是世界上第一本完整的林木病理学教科书，被认为是林木病理学科诞生的标志。,林木病理学; 学科奠基人; 罗伯特·哈蒂; 树病学; 学科起源,林木病理学（第3版）-绪论-0.2 林木病理学发展历史-2-2
M_LMBLX_V3_0006,林木病理学（第3版）,绪论,0.2 林木病理学发展历史,2,2,世界林木病理学的四个主要发展阶段,summary,林木病理学学科自1882年诞生至今，已经有120多年的历史。欧美等一些发达国家大约在19世纪末20世纪初即开始了林木病害的研究。虽然林木病理学在不同的国家发展的时期有所不同，但在发展的过程中大多经历了几个类似的发展阶段，即森林病害种类及危害程度调查阶段，针对主要发生病害开展防治技术研究阶段，对病害发生的生态环境条件以及寄主—病原物关系等进行深入研究阶段，维护森林健康是森林病害可持续控制的核心等阶段。,发展阶段; 危害调查; 防治技术; 寄主病原物关系; 森林健康,林木病理学（第3版）-绪论-0.2 林木病理学发展历史-2-2
M_LMBLX_V3_0007,林木病理学（第3版）,绪论,0.2 林木病理学发展历史,2,2,中国林木病理学1949年前的早期研究概况,summary,我国林木病理学的研究工作起步较晚。20世纪前半叶中国处于内外战祸之中，落后的林业基本停滞在自生自灭状态，森林病害自然极少受人注意。根据相望年（1957）收集的资料表明，中国最早发表有关林木病害的文章始于1922年，到1949年为止有关林木病害的文章总共不过13篇，这些文章的作者除李寅恭是从事森林保护学教研工作的教授外，大多是植物病理学者或真菌学者，在他们的工作中偶尔涉及树木病害方面的内容。,中国林木病理学; 早期研究; 历史背景; 李寅恭,林木病理学（第3版）-绪论-0.2 林木病理学发展历史-2-2
M_LMBLX_V3_0008,林木病理学（第3版）,绪论,0.2 林木病理学发展历史,2,2,新中国成立后林木病理学的学科建设与发展趋势,summary,中国林木病理学科的真正建立与发展是从新中国成立后开始的。1952年我国第一次将森林病理学列入高等林业院校的教学计划，开始了林木病理学的教学与科研工作。1958年又首先在林业部所属的北京林学院、南京林学院、东北林学院创建了森林病虫害防治专业。1954年开始组织森林综合调查队对东北及西南大林区进行森林资源调查，其中包括进行森林病害调查。1980年和2003年开展了两次全国性的林业有害生物普查工作，根据最近一次的病虫普查结果，我国森林生态系统中有病害种类2918种，其中在林业上经常发生普遍且严重的有100多种。50多年来，对我国主要森林病害的发生原因、流行规律和防治技术等进行了广泛的研究，基本摸清了我国主要森林病害发生与流行的规律，在许多病害上提出了相应的防治技术与方法，为我国林业资源的健康培育提供了重要的技术保障。1979年6月在成都召开了第一次全国森林病理学学术年会，建立了中国林学会森林病理学分会第一届理事会。至今已先后召开了7次全国森林病理学学术年会，2010年在广西南宁召开的全国森林病理学学术年会上，换届组建了我国新一届的森林病理分会理事会。中国林业出版社先后于1984年和1997年分别出版了《中国森林病害》和《中国乔灌木病害》，这是我国林木病理学建立与发展中的两部重要的专著，是我国林木病理学建立与发展时期研究进展的集中体现。进入21世纪后，我国林木病理学事业又得到了很大的发展，在传统林木病理学研究的基础上，更加注重向细胞与分子生物学和地理生态学两个方向发展，在更深入的分子水平上和更大尺度的生态景观上揭示病害发生与流行的本质与规律。,学科建设; 林业有害生物普查; 森林病理学分会; 中国森林病害; 分子生物学,林木病理学（第3版）-绪论-0.2 林木病理学发展历史-2-2
M_LMBLX_V3_0009,林木病理学（第3版）,绪论,0.3 林木病理学的主要研究内容,3,3,林木病理学的研究对象与四大研究内容划分,summary,林木病理学研究对象主要包括森林树木、森林苗木和城市绿化中的乔灌木病害。研究内容大致可以分为病原学、病理学、流行学和防治学四部分。,研究对象; 乔灌木病害; 病原学; 病理学; 流行学; 防治学,林木病理学（第3版）-绪论-0.3 林木病理学的主要研究内容-3-3
M_LMBLX_V3_0010,林木病理学（第3版）,绪论,0.3 林木病理学的主要研究内容,3,3,病原学的定义与主要研究内容,definition,病原学研究的是林木病害发生的原因。虽然，物理的、化学的和生物的因素都可以成为林木病害的病原，但通常在林木病理学中是以研究生物性病原为主，即研究这些病原生物（包括真菌、细菌、病毒、线虫、植物菌原体、高等寄生植物等）的形态、分类地位、生活史、生理特点和生态习性及其所致病害的特点。,病原学; 生物性病原; 真菌; 细菌; 病毒; 线虫; 生活史,林木病理学（第3版）-绪论-0.3 林木病理学的主要研究内容-3-3
